CustomerName,FeedbackID,Product,FeedbackText,Sentiment,Rating,PurchaseDate,Location,CustomerEmail,OrderID
Anthony Zavala,4347,Smart Refrigerator,Your positive attitude makes a significant difference to the team.,positive,4,2021-09-14,Sethbury,julia36@example.net,802038
Sharon Wallace,7401,Portable Air Conditioner,The sky is blue today.,neutral,3,2021-09-22,Patricktown,bradley00@example.org,919294
Stacey Leach,2399,Blender,The management's response to our concerns was dismissive and unprofessional.,negative,2,2016-03-03,West Laurenmouth,ievans@example.net,817599
David Perez,9198,LED Projector,The meeting is scheduled for 3 PM.,neutral,3,2023-09-24,Brownchester,ynichols@example.com,451676
Alexis Austin,8291,Desk Lamp,I've never seen such a clear and concise explanation of a complex topic.,positive,5,2019-05-20,North Roymouth,joneskristin@example.org,861520
Sabrina Potter,1395,Home Security Camera,The house is painted white.,neutral,1,2019-08-06,Rossside,ericphillips@example.net,477124
Kaitlyn Grant,2995,Ergonomic Chair,The restaurant was excessively noisy,negative,5,2015-07-23,Mooreland,andersonalexa@example.com,301284
Cassandra Cook,2738,LED Projector,I'm so proud of the progress you've made.,positive,1,2016-05-21,West Kathleen,nelsonmark@example.net,475805
Michael Krause,1477,Dishwasher,I was truly impressed by your creative problem-solving skills.,positive,3,2022-04-11,Hendrixborough,elizabethvalenzuela@example.net,361694
Jocelyn Smith,1831,Washing Machine,Your leadership skills are exemplary.,positive,4,2019-10-09,South Micheleside,debra93@example.com,282614
Carl Cook,6647,Digital Camera,You have a remarkable talent for explaining complex ideas simply.,positive,2,2016-03-12,Carrside,marchoffman@example.net,283186
Donna Martin,2856,Food Dehydrator,Your dedication and hard work are truly commendable.,positive,3,2016-05-26,West Sheila,dmiranda@example.net,523933
Jill Anderson,1219,Slow Cooker,The building has many windows.,neutral,5,2020-10-24,Lake Kimberlyfurt,villegasjennifer@example.com,880022
Troy Anderson,6269,Outdoor Speaker,The service was incredibly slow,negative,1,2020-06-06,Jacksonland,marygreen@example.com,543276
Jeffrey West,6949,Smart Washing Machine,The overall experience was far below our expectations.,negative,4,2019-06-29,South Adam,williamsangela@example.net,772074
George Williams,5736,Home Security Camera,The plant's leaves are green.,neutral,1,2021-04-17,New Benjamin,mark94@example.org,127573
Brittany Mills,1455,Microwave Oven,The food arrived cold,negative,1,2023-08-13,Lewismouth,donna33@example.org,229218
Nicole Gonzalez,2374,Washing Machine,The advertised amenities were unavailable,negative,4,2018-01-27,Lake Donald,jameshall@example.com,689349
Douglas Greer,4310,Smartwatch,The advertised features were not accurately described; several functionalities are missing.,negative,2,2022-03-20,West Erica,janetsnyder@example.net,762097
Brianna Schultz,9316,Electric Heater,The restaurant was excessively noisy,negative,2,2015-12-22,Port Angelica,denniscox@example.org,802329
Jerry Stone,1269,Smartwatch,I appreciate your willingness to help others and collaborate effectively.,positive,3,2016-03-11,Smithfort,eddierich@example.org,905791
Ryan Smith,3485,Gaming Mousepad,The promised appetizer never arrived,negative,3,2015-03-30,New Gregory,zunigacody@example.org,692487
Jeremy Williams,3535,Outdoor Speaker,The menu lacked variety and offered limited options for dietary restrictions.,negative,5,2021-03-16,Taylorfurt,beckerkelly@example.net,450466
Alexander Dyer,8588,Electric Grill Pan,The organization of your thoughts is impressive.,positive,4,2023-10-01,Bruceberg,michaelrojas@example.org,826634
Jacqueline Leon,3145,TV Stand,Congratulations on a job incredibly well done!,positive,4,2016-01-29,Port Brianfurt,samuel54@example.com,590032
David Gomez Jr.,8224,Paint Sprayer,Your commitment to excellence is truly admirable.,positive,3,2015-06-10,Smithshire,monica25@example.net,234323
Roy Gross,2927,Electric Grill Pan,Your dedication to this project is truly commendable.,positive,2,2020-02-20,East Nancystad,cindy07@example.net,463733
Kari Nguyen,9446,Electric Can Opener,Rain is expected in the afternoon.,neutral,2,2021-10-27,Josephburgh,craigjohnson@example.net,904302
Stephanie Osborne,1404,Projector,You have a real talent for [mention specific skill,positive,5,2022-12-30,Lake Michaelport,raywillis@example.com,490735
Carolyn Hill,2330,Portable Blender,I'm incredibly fortunate to be working alongside such a talented individual.,positive,5,2020-04-09,Maciasland,angela97@example.org,209503
Gerald Fox,7229,Water Filter,The news is on television.,neutral,4,2015-09-09,Zacharyborough,bjames@example.org,644628
Melissa Booth,9882,Electric Grill,The children played in the park.,neutral,3,2018-07-05,Lake Melissa,michael65@example.org,337505
Randy Johnson,1116,Laptop,I'm consistently amazed by your resourcefulness.,positive,3,2018-12-23,New Tonya,marksmith@example.com,753811
Shannon Austin,5440,Air Purifier,Our experience was extremely disappointing and far below expectations.,negative,5,2020-06-07,West Ashleyshire,jacksonnicole@example.com,358648
Daniel Klein,8151,Pressure Cooker,The warranty coverage is inadequate and provides little protection to the consumer.,negative,1,2017-01-30,North Annettefort,romankathy@example.com,806895
Sarah Cain,2909,Smart Light Bulbs,The noise level made conversation nearly impossible.,negative,1,2017-08-11,Catherinemouth,montgomeryerin@example.net,989234
Casey Schwartz,4846,Keyboard,The meeting is scheduled for tomorrow morning.,neutral,4,2020-04-12,Andreaborough,brianguerrero@example.com,122828
William Savage,4213,Vacuum Cleaner,Feedback,neutral,5,2020-11-09,Port Gregory,danacurtis@example.org,441480
Derek Nelson,3596,Electric Kettle,The waiter was inattentive and seemed disinterested in our needs.,negative,3,2015-10-01,Hendersonmouth,millersteven@example.org,215890
Trevor Sparks,6084,Food Processor,The river flowed steadily onward.,neutral,1,2017-08-06,East Connieville,fmiller@example.com,215870
Daniel Perez,4645,Bluetooth Speaker,The impact of your work is significant and far-reaching.,positive,2,2018-07-14,Andersonfurt,daniellebrown@example.com,753980
Thomas Grant,6917,Induction Cooktop,I attempted to contact customer support multiple times without receiving a response.,negative,5,2022-05-26,Woodview,andersonlisa@example.org,849171
Vanessa Willis,6428,Electric Grill,You've created something truly beautiful and meaningful.,positive,5,2015-05-03,Davidchester,jperry@example.net,474364
Lauren Brown,6134,E-Scooter,The train arrives at 8:5 AM.,neutral,2,2021-06-09,Taylorberg,ingrambill@example.net,349903
Michael Foster,3265,Portable Humidifier,You've demonstrated a mastery of this complex subject.,positive,2,2015-12-13,Bryanland,joshua65@example.com,469287
Jeremy Shah,9433,Gaming Headset,The building stood tall.,neutral,3,2015-02-27,Lake Lindaland,jasonjohnston@example.com,377069
Deanna Martinez,4007,Air Conditioner,The email contained important information.,neutral,2,2015-09-21,Port Michelleton,halllatoya@example.org,347734
Karen Kennedy,1425,Smart Mirror,Your positive impact on the team is undeniable.,positive,4,2015-01-12,New Alecmouth,hernandezmolly@example.com,783853
Kevin Fox,7959,Electric Grill,Our drinks arrived late and were not prepared correctly.,negative,1,2015-04-23,East Derek,jennifergoodwin@example.net,684357
Glenn Campbell,9247,LED Projector,My steak was overcooked and tough,negative,2,2023-09-20,Port Andrea,ogonzalez@example.net,209124
Kristen Burns,9048,Ice Cream Maker,The product arrived damaged,negative,3,2021-01-08,Port Robertton,treynolds@example.org,670056
Dennis Torres,5035,Wine Cooler,Your attention to detail is impeccable.,positive,1,2019-12-17,Lake Scottshire,barkerdenise@example.org,901615
David Curtis,8414,Sewing Machine,Your presentation was incredibly engaging and informative.,positive,5,2016-02-06,Chavezbury,kimberly46@example.net,456366
Michael Herman,4514,Vacuum Cleaner,Your attention to detail is second to none.,positive,3,2020-04-29,Rileyburgh,byrdjeremy@example.com,959222
Jonathan Vasquez,1718,Robot Vacuum,I was thoroughly impressed by your creativity and innovative ideas.,positive,2,2017-07-08,West Jonathanbury,robert93@example.org,846088
Sean Wright,2388,Smart Doorbell,Your dedication and hard work are truly inspiring.,positive,3,2020-04-22,Davidsonview,evaughan@example.org,601872
Joshua Jones,7194,Digital Thermometer,The waiter was inattentive and seemed disinterested in our needs.,negative,1,2020-09-06,Elizabethbury,jennifergreen@example.net,694216
Robert Crane,1295,Dishwasher,Your commitment to excellence is inspiring.,positive,2,2023-07-15,Schultzstad,pshepherd@example.com,995626
Jaclyn Hatfield,3968,Home Security Camera,The quality of your work consistently surpasses expectations.,positive,4,2021-01-20,Michaelville,jessica94@example.org,404527
Kristin Lara,8264,Wireless Mouse,The sun is setting in the west.,neutral,4,2019-07-17,Lovechester,wilsonchristine@example.org,830433
Tara Martinez,6119,Food Dehydrator,Your dedication to this project is truly inspiring.,positive,2,2017-07-06,New Michaelbury,heidimartin@example.com,236023
Heidi Martin,8116,Stand Mixer,I would not recommend this product or service to anyone.,negative,5,2015-11-02,East Melissachester,reidmichelle@example.org,651354
Desiree Holmes,6763,Gaming Headset,Your positive attitude brightens up the entire team.,positive,2,2017-10-01,Maddenmouth,gabbott@example.org,808152
Marissa Larson,5130,Air Purifier,The flower is red.,neutral,4,2015-11-07,East Brian,amy20@example.com,250086
Hannah Wilson,4090,Bluetooth Earbuds,Your innovative ideas are a valuable asset to the team.,positive,4,2017-01-15,Walterview,frostvirginia@example.com,789420
Emily Bryant,5034,Power Bank,My steak was undercooked,negative,5,2023-12-11,Amandashire,ttanner@example.net,514551
Matthew Pierce,3613,Fitness Equipment,Your dedication and hard work are truly inspiring.,positive,1,2015-10-09,Bauerberg,larry99@example.org,657644
Susan Velez,3961,Wine Cooler,Your presentation was incredibly engaging and informative.,positive,2,2023-02-10,Lake Christina,randy60@example.org,287388
Christopher Sims,4127,Pressure Cooker,The clarity of your communication skills is truly impressive.,positive,5,2020-02-25,New Jim,isaac09@example.net,168903
David King,6328,Smart Mirror,The ambiance was uninviting and lacked any sort of charm.,negative,1,2022-12-20,West Saraland,rmiller@example.org,929808
Donna Robinson,3015,Smart Light Bulbs,I'm so grateful for your support and assistance.,positive,2,2020-02-13,Port Amanda,freemanjessica@example.org,740568
David Davis,3694,Drones,Birds sang in the trees.,neutral,4,2018-10-29,West Debraville,tammieowens@example.org,991452
Justin Daniels,4140,Desk Lamp,The building is made of brick.,neutral,1,2023-01-29,East Paige,fdaniels@example.org,136557
Laurie Wood,7313,Oven Toaster,You handled the difficult situation with grace and professionalism.,positive,2,2018-09-20,Lindaborough,sarah32@example.com,827908
Dylan Diaz,3022,Vacuum Cleaner,You have a fantastic ability to communicate complex ideas simply and clearly.,positive,1,2018-06-16,Nicoleton,hlandry@example.com,907063
Michele Carter,6750,Electric Grill Pan,I learned a lot from working with you.,positive,3,2020-10-05,Hallmouth,zroy@example.com,971827
Paula Robinson,1294,Lawn Mower,We were charged an incorrect amount and were given little to no explanation.,negative,3,2016-07-04,New Loriburgh,amber12@example.com,402693
Megan Rogers,1027,Keyboard,The food arrived cold and was clearly not fresh.,negative,2,2018-07-09,Katieland,anna49@example.org,526181
William Coleman,4300,Mini Fridge,The flowers bloomed in the spring.,neutral,5,2018-10-09,North Ashley,suttonelizabeth@example.net,136020
William Johnson,5995,Home Security Camera,The atmosphere was noisy and chaotic,negative,2,2020-02-20,Kellytown,sydneyphillips@example.com,797229
Kevin Gordon,9981,Electric Skateboard,The flowers bloomed in the spring.,neutral,5,2017-11-27,East Melissaside,pjohnson@example.com,253353
Eric Moore,3271,Smart Pet Feeder,The meeting lasted for an hour.,neutral,5,2023-01-14,West Shawnbury,qpatel@example.net,190403
Katherine Beard,1454,Coffee Grinder,You have a remarkable talent for problem-solving.,positive,1,2015-05-09,Jamestown,brooksdaisy@example.net,411617
Scott Huff,1873,Gaming Headset,You consistently exceed expectations in everything you do.,positive,4,2017-04-20,Grantview,jasonrivera@example.com,250947
Sarah Scott,2346,Smart Mirror,This is truly exceptional work; congratulations!,positive,1,2019-06-03,Harperfort,kgill@example.org,979124
Laura Blevins,3342,Ice Cream Maker,Your positive attitude brightened the entire team's day.,positive,3,2015-07-17,Danafurt,piercebrian@example.org,358066
Kevin Molina,7831,Handheld Vacuum,The quality of your craftsmanship is outstanding.,positive,2,2015-07-08,Kevinmouth,dyang@example.org,203777
Diane Castillo,6665,Food Scale,I'm so impressed by your positive attitude and willingness to help others.,positive,3,2017-05-12,New Lindseyport,hartmannatasha@example.net,418152
Amy Smith,7412,Coffee Maker,Keep up the fantastic work!,positive,2,2016-08-10,Hessburgh,alec76@example.net,696191
Katherine Wilson,8531,Smart Refrigerator,We found the price to be excessive considering the quality of the food and service.,negative,1,2023-09-14,Christopherland,jacob95@example.com,214887
Melissa Garrett,1992,Food Scale,The river flows steadily towards the ocean.,neutral,4,2017-09-16,East Sabrinaborough,jaimejohnson@example.com,321832
Nicholas Thomas,2094,Sewing Machine,The instructions were unclear and lacked essential details,negative,1,2023-12-03,New Vanessafort,velasquezholly@example.org,707685
Noah Anderson,7781,Gaming Mousepad,I'm extremely disappointed with the quality; it's far below what was advertised.,negative,1,2015-07-26,Port Jackhaven,dawn28@example.com,462577
Kevin Hill,8745,Ergonomic Chair,The report you submitted was exceptionally clear and concise.,positive,5,2017-03-05,Port Jerryton,brownlawrence@example.com,209410
Robert Douglas,3853,Smart Doorbell,The price was exorbitant considering the quality of the food and service.,negative,1,2021-10-12,Lake Andrew,harrisondaniel@example.net,991239
Robert Barnes,8504,Smart Light Bulbs,The level of detail in your work is exceptional.,positive,3,2017-01-04,Millerview,bobby47@example.com,938298
David Ingram,2443,Wireless Mouse,The road is relatively smooth.,neutral,5,2023-04-30,North Ianchester,saralowe@example.net,423059
Jared Miller,3603,Paint Sprayer,Your presentation was incredibly engaging and informative.,positive,5,2021-04-16,Christopherstad,heathercarr@example.org,782346
Whitney Park,4282,Ergonomic Chair,There was a significant wait time for the bill.,negative,3,2021-04-01,New Justinberg,jennifer13@example.net,163049
James Kaufman,3230,Handheld Vacuum,The sound quality is significantly worse than expected.,negative,1,2019-02-10,Williamsburgh,ffoster@example.net,326138
Ryan Nguyen,6730,Hair Dryer,The library has extensive resources.,neutral,3,2017-06-02,Rodriguezhaven,shannon63@example.com,770872
Emily Sanford,7117,TV Stand,I'm so grateful for your hard work and collaboration.,positive,4,2022-03-22,South Brendabury,blevinsamanda@example.org,977017
Timothy Arnold,5736,Reverse Osmosis System,The bill contained inaccurate charges,negative,5,2019-10-23,Jamesview,teresa78@example.com,684598
Timothy Winters,8137,Home Security Camera,I appreciate your collaborative spirit and willingness to help others.,positive,2,2016-08-01,North Juliatown,tkey@example.net,225572
Sherry Harrison,8914,Dishwasher,Your innovative thinking is a real asset to the company.,positive,2,2017-09-14,Briggsville,xrivers@example.net,141665
Tanya Aguilar,9492,Smart Refrigerator,I appreciate your proactive approach and willingness to take initiative.,positive,2,2018-12-18,Campbellmouth,jerry21@example.net,983375
Laura Sanchez,3148,Coffee Grinder,The report is due next week.,neutral,2,2020-01-24,Lake Rogerfort,martinjasmine@example.net,245064
Jeffery Fernandez,8141,Stand Mixer,The accompanying vegetables were undercooked and practically raw.,negative,5,2020-04-14,North Lisamouth,kleinbilly@example.net,575071
Peter Brown,6361,Portable Air Conditioner,The train arrives at 3 PM.,neutral,1,2018-12-12,Davidville,cassidy20@example.org,210879
Jonathan Perez,1090,Action Camera,We received incorrect change after paying the bill.,negative,3,2017-11-05,Timville,ubrown@example.net,843737
Stacy Kim,9551,TV Stand,The children are playing in the park.,neutral,5,2023-07-27,Huntton,andersonjeffrey@example.com,512141
Joseph Young,9045,Smart Baby Monitor,You handled that challenging situation with grace and professionalism.,positive,4,2021-03-19,Markhaven,allisondiane@example.net,891172
Ian Perry,9788,Electric Pans,The cat sat on the mat.,neutral,2,2017-12-10,Deannahaven,pross@example.org,205893
Veronica Holmes,9689,Drones,Your passion for your work is evident in everything you do.,positive,3,2016-08-01,Nathanville,barronjerome@example.net,374484
Jamie Mcgee,1302,Mini Fridge,The customer service representative was unhelpful and dismissive of my concerns.,negative,5,2016-07-22,Jocelynstad,andrew22@example.com,136977
Lindsey Scott,5350,Projector,The service was incredibly slow,negative,2,2023-12-26,Blackshire,mshaw@example.com,867804
Sandra Petersen,9265,Electric Skateboard,He spoke in a calm and measured tone.,neutral,4,2018-07-13,Schmidtville,wilsonjacob@example.com,267773
Jennifer Peters,6342,Standing Desk,I appreciate your willingness to go the extra mile.,positive,1,2020-06-11,Lake Shelbymouth,hamiltoncody@example.net,698226
Jessica King,2600,Blender,The building stood tall.,neutral,5,2015-04-02,New Markshire,josephgould@example.net,192121
Todd Bowers,2954,Air Conditioner,You have a fantastic ability to connect with people.,positive,1,2015-07-10,East Abigail,courtney65@example.net,455726
Nancy Walton,7714,Shaver,There was a noticeable lack of attention to detail in the presentation of the dishes.,negative,1,2019-11-22,Port Aprilbury,mcopeland@example.net,460517
Margaret Thomas,1425,Wine Cooler,I was truly impressed by your creativity and innovative approach to the problem.,positive,2,2018-01-22,West Albert,wsmith@example.org,450771
Denise Thompson,5195,Stand Mixer,The train arrived at the station promptly.,neutral,4,2019-04-29,Pamelaborough,martinbrian@example.com,835735
Jessica Lucero,8381,Water Filter,Water boils at 00 degrees Celsius.,neutral,3,2022-05-15,Moorefort,stephanie61@example.com,358966
Holly Patton,4083,Portable Power Station,I was blown away by your talent and skill.,positive,2,2018-02-11,Jonathanhaven,robert58@example.net,491067
Ross Moore,3262,Electric Skateboard,The car is parked in the driveway.,neutral,3,2022-05-02,Hammondmouth,washingtonnathan@example.net,704985
Steven Oneal,6295,Bluetooth Earbuds,You're a true asset to our team,positive,4,2021-05-23,West Leslie,brittany37@example.net,443920
Kristen Miller,1484,Bluetooth Speaker,The flowers bloomed in the spring.,neutral,4,2017-01-30,Hulltown,jesus68@example.org,698037
James Rice,6426,Smartphone Stand,The advertised features were completely absent from the product I received.,negative,2,2015-09-22,Port Miguel,cookdeborah@example.net,405956
Catherine Santos MD,9051,Refrigerator,Our drinks arrived after our food,negative,4,2021-12-11,East Georgeview,smithrichard@example.org,774758
Brittany Mills,4554,Pressure Washer,Your leadership in this project was inspirational.,positive,4,2017-07-21,South Timothyhaven,wmorgan@example.com,857957
Mary Robertson,9818,Electric Shaver,The book was placed on the shelf.,neutral,4,2015-08-26,Andrewport,smallvictor@example.net,114385
David Richards,7582,Smart Pet Feeder,The parking was inadequate and extremely inconvenient.,negative,2,2020-11-17,Port Sarahport,gsmith@example.net,772887
David Walls,2209,Portable Power Station,The sky is mostly clear today.,neutral,1,2017-04-29,Jillview,megancardenas@example.org,660204
Troy Hogan,2056,Power Bank,The snow is falling softly.,neutral,5,2019-03-17,East John,vincenthoffman@example.net,476779
Melissa Williams,3688,Bluetooth Earbuds,The population of the world is increasing.,neutral,2,2018-09-06,North Sonia,josephpotts@example.com,415735
Matthew Turner,7787,Hair Dryer,The sky is currently overcast.,neutral,2,2023-03-22,Colemanton,lindakim@example.net,459152
Amber Riggs,4688,Electric Blanket,Trees provide shade and oxygen.,neutral,4,2021-12-05,East Victoriabury,tiffany94@example.com,662422
Annette Romero,3778,Electric Mattress Pad,You've exceeded all expectations with your performance.,positive,1,2018-08-19,Timothyfurt,hbennett@example.com,772441
Daniel Wilson,7125,Paint Sprayer,The results you achieved are truly outstanding.,positive,2,2019-06-06,South Michelle,hudsonbryan@example.net,796415
Jason Perry,8838,Air Conditioner,Computers process information.,neutral,1,2015-10-28,New Josephville,wdunlap@example.com,704955
Kristine Dennis,3210,Food Dehydrator,The restroom was unclean and lacked basic toiletries.,negative,3,2018-05-20,East Jeffery,bergtimothy@example.com,260086
Cynthia Stephens,4618,Fitness Tracker,The level of detail in your work is truly remarkable.,positive,1,2023-06-14,South Troy,michaelperry@example.org,820684
Dr. Alexis Lynch MD,2202,Electric Skillet,Water is essential for life.,neutral,1,2015-06-17,Hansenview,troydavis@example.net,574522
Karen Campbell,3651,Heater,The new software update includes several bug fixes.,neutral,2,2020-08-19,East Jessica,deleonadam@example.org,437844
David Carroll,2472,Compact Freezer,I was particularly impressed by your ability to think outside the box.,positive,2,2021-02-04,West Patrickstad,aprilsmith@example.org,335921
Jessica Ware,7361,Stand Mixer,The restrooms were unclean and lacked basic supplies like soap.,negative,2,2022-03-09,East Kevin,mullenangela@example.net,241577
Stacey Miller,8655,Dishwasher,The cat sat on the mat.,neutral,2,2018-11-21,Tylertown,ericahenderson@example.com,512912
Janice Allen,3260,Portable Blender,The customer service representative was unhelpful and dismissive of my concerns.,negative,1,2021-01-12,Dawnland,shawnwarner@example.net,906572
Jeffrey Murray,4664,Home Security Camera,The food arrived cold and was clearly not fresh.,negative,4,2021-10-15,Guerrafort,deannadavila@example.com,678586
Jennifer Collins,1241,Food Scale,The product arrived damaged,negative,3,2023-08-24,Sarahside,jacobbrown@example.org,453908
Tara Wagner,1735,Gaming Chair,The email contained important information.,neutral,1,2015-11-11,New Brendan,colson@example.com,424258
Christopher Simmons,1283,Bluetooth Headphones,We found a foreign object in our food.,negative,4,2016-10-11,Lake Alexandra,greenrobin@example.net,365177
Matthew Walsh,5051,Digital Camera,The product arrived damaged,negative,3,2022-04-01,South Lauraville,obowen@example.org,268521
Richard Rose,8913,E-Scooter,The noise level was excessive,negative,4,2023-01-30,North Troyside,hurstangel@example.net,678491
Emily Schmitt,4494,USB-C Cable,The advertised features are not accurately reflected in the actual product.,negative,3,2023-06-23,Rodriguezside,cpeterson@example.net,543557
Alexander Martinez,2506,Blender,The shipping was excessively slow,negative,5,2023-05-05,Matthewstad,smithann@example.org,572281
Daniel Simpson,5520,Smartphone Stand,We received no apology for the numerous failings during our visit.,negative,3,2019-05-11,Piercebury,alyssa62@example.net,942319
Zachary Stuart,8342,Home Security Camera,The team members collaborated effectively on the task.,neutral,2,2020-12-20,West Vanessaland,danielrobert@example.com,443292
Taylor Romero,2587,Wireless Charger,Your presentation was incredibly engaging and informative.,positive,3,2021-01-31,Port Jaimemouth,jscott@example.net,165991
Gary Chapman,3803,Slow Cooker,Your contribution to the team was invaluable.,positive,5,2015-04-03,East Jonathanmouth,marccortez@example.net,494486
